fips,total_cases,fips,total_death
8037,867298,8037,4658
8039,193533,8039,2023
8041,8092265,8041,124755
8043,773932,8043,5207
8045,796602,8045,5478
8047,25389,8047,317
8049,156096,8049,841
8051,197957,8051,2321
8053,2896,8053,0
8055,45375,8055,2432
8057,7481,8057,0
8059,5995374,8059,145331
8061,11745,8061,331
8063,86801,8063,2054
8065,96018,8065,1
8067,434650,8067,4643
8069,3051915,8069,34715
8071,122625,8071,1232
8073,126914,8073,403
8075,671098,8075,9775
8077,1779193,8077,25028
8079,11719,8079,131
8081,94058,8081,3019
8083,243514,8083,3633
8085,457424,8085,8961
8087,487626,8087,21428
8089,258435,8089,8058
8091,35286,8091,684
8093,80477,8093,842
8095,50519,8095,1408
8097,280325,8097,1005
8099,171834,8099,3119
8101,2260771,8101,53468
8103,59075,8103,433
8105,100381,8105,1788
8107,252092,8107,4179
8109,63745,8109,917
8111,6246,8111,0
8113,105113,8113,0
8115,28001,8115,407
8117,474587,8117,1594
8119,196353,8119,2326
8121,65841,8121,1657
8123,4260392,8123,74137
8125,113513,8125,1985
9001,14394919,9001,569452
9003,11551842,9003,592387
9005,1782359,9005,65486
9007,1588041,9007,81723
9009,11928085,9009,478319
9011,2656792,9011,71346
9013,1207368,9013,33929
9015,1253696,9015,22023
10001,2249209,10001,54538
10003,7837458,10003,141088
10005,4044036,10005,92188
11001,7906906,11001,251665
12001,3859589,12001,33974
12003,596752,12003,8890
12005,3013373,12005,53738
12007,481831,12007,6956
12009,5383627,12009,129917
12011,35561837,12011,506344
12013,287436,12013,6844
12015,1780391,12015,66043
12017,1554536,12017,60800
12019,2736273,12019,51126
12021,5757800,12021,89707
12023,1474912,12023,26543
12027,721361,12027,13389
12029,290723,12029,3425
12031,15206923,12031,192569
12033,5787099,12033,104503
12035,966102,12035,13972
12037,237406,12037,1888
12039,1043590,12039,16184
12041,244805,12041,5805
12043,194993,12043,2710
12045,338042,12045,6246
12047,324129,12047,3581
12049,544824,12049,5420
12051,864328,12051,15533
12053,1797309,12053,65226
12055,1196782,12055,48387
12057,19882538,12057,277987
12059,377556,12059,6059
12061,1782395,12061,45620
12063,1131980,12063,27893
12065,248043,12065,4174
12067,350383,12067,4656
12069,3985198,12069,86396
12071,10256316,12071,180935
12073,4836437,12073,43107
12075,487459,12075,5314
12077,209792,12077,3198
12079,388431,12079,7900
12081,5665407,12081,119611
12083,4558432,12083,126938
12085,2067602,12085,54282
12086,76122472,12086,1149831
12087,1020777,12087,8682
12089,1188524,12089,17727
12091,2998715,12091,53127
12093,647748,12093,12694
12095,19871644,12095,196982
12097,6320953,12097,75561
12099,21866524,12099,519317
12101,5392961,12101,101958
12103,11465024,12103,283540
12105,9682929,12105,212413
12107,1002661,12107,20211
12109,3181814,12109,31713
12111,3800964,12111,107084
12113,2759182,12113,38997
12115,4557418,12115,129476
12117,4660257,12117,80526
12119,1291097,12119,36548
12121,1009161,12121,26268
12123,496306,12123,6457
12125,337424,12125,12550
12127,5765486,12127,114833
12129,531114,12129,6759
12131,1152298,12131,13083
12133,473251,12133,8497
13001,425158,13001,12511
13003,191462,13003,2677
13005,267671,13005,6221
13007,42193,13007,1825
13009,824183,13009,23099
13011,280377,13011,4752
13013,1365417,13013,20916
13015,1989846,13015,38001
13017,359439,13017,11479
13019,271697,13019,6543
13021,2611618,13021,69681
13023,237408,13023,8498
13025,249117,13025,5269
13027,239939,13027,9425
13029,528352,13029,5827
13031,1143065,13031,15293
13033,408590,13033,7298
13035,432207,13035,16502
13037,114691,13037,3374
13039,613677,13039,5418
13043,175703,13043,9142
13045,1770843,13045,35906
13047,828637,13047,10018
13049,250337,13049,4555
13051,3656110,13051,66380
13053,596904,13053,1293
13055,414918,13055,10281
13057,4140975,13057,44530
13059,2415135,13059,20152
13061,48767,13061,966
13063,3840849,13063,70980
13065,166438,13065,3965
13067,11294106,13067,179810
13069,965424,13069,25386
13071,870474,13071,17131
13073,2400390,13073,28550
13075,296302,13075,6414
13077,1954351,13077,25492
13079,99552,13079,2296
13081,340510,13081,11008
13083,193833,13083,2002
13085,444735,13085,4986
13087,509527,13087,12258
13089,9882696,13089,155912
13091,335164,13091,13918
13093,184066,13093,7846
13095,1465913,13095,74010
13097,2143668,13097,32892
13099,229639,13099,13063
13101,100341,13101,1053
13103,693870,13103,9704
13105,369529,13105,7778
13107,439363,13107,13278
13109,168489,13109,3540
13111,349558,13111,9920
13113,1213788,13113,23567
13115,1795554,13115,29982
13117,2884293,13117,23866
13119,418498,13119,6874
