population,EP_POV,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_MINRTY,EPL_LIMENG,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,EP_UNINSUR,With.own.children.of.the.householder.under.18.years,Cohabiting.couple.household,Male.householder..no.spouse.partner.present,Householder.living.alone,Female.householder..no.spouse.partner.present,Households.with.one.or.more.people.under.18.years,Households.with.one.or.more.people.65.years.and.over,Average.household.size,Average.family.size,Householder,Spouse,Unmarried.partner,Child,Other.relatives,Other.nonrelatives,Never.married,Now.married..except.separated,Separated,Widowed,Divorced,Number.of.women.15.to.50.years.old.who.had.a.birth.in.the.past.12.months,Unmarried.women..widowed..divorced..and.never.married.,Less.than.1.year,X1.or.2.years,X3.or.4.years,X5.or.more.years,Number.of.grandparents.responsible.for.own.grandchildren.under.18.years,Who.are.female,Who.are.married,Nursery.school..preschool,Kindergarten,Elementary.school..grades.1.8.,High.school..grades.9.12.,College.or.graduate.school,Less.than.9th.grade,X9th.to.12th.grade..no.diploma,High.school.graduate..includes.equivalency.,Some.college..no.degree,Associate.s.degree,Bachelor.s.degree,Graduate.or.professional.degree,High.school.graduate.or.higher,Bachelor.s.degree.or.higher,Civilian.veterans,With.a.disability,Same.house,Different.house.in.the.U.S.,Same.county,Different.county,Same.state,Different.state,Abroad,Native,Born.in.United.States,State.of.residence,Born.in.Puerto.Rico..U.S..Island.areas..or.born.abroad.to.American.parent.s.,Foreign.born,Foreign.born.population,Naturalized.U.S..citizen,Not.a.U.S..citizen,Population.born.outside.the.United.States,Entered.2010.or.later,Entered.before.2010,English.only,Language.other.than.English,cluster_complete,covid_impact,FIPS
677692,0.683273896473415,-0.154276047325039,-0.0694418355537811,0.0234716905744136,0.675278970946668,1.68488057424167,0.462437999701612,0.426811053252431,-0.242181670284436,0.0939885657242307,-0.0514729820933038,-0.665597054918347,0.919684220422976,0.505078891354614,-0.164720292467916,0.163752468924334,-0.340194743625494,-0.0673719661038021,-0.11016742081287,0.90966997599927,1.41690620795276,1.02815610597727,0.822013626591229,-0.162775316866553,0.719470933372406,0.342990070601717,-0.95195406479982,0.122845687955316,0.26716179999052325,0.669056833925239,1.34172127815849,0.8786856889888736,0.756604392315904,-0.4979518464699095,-0.2198649333997335,-0.3347387461846335,0.31235851024132644,0.294611734203813,-1.1573140748512525,0.6381144785756815,-0.14107619968211246,0.720992787798956,0.11289825560030534,0.675284079628645,-0.9825535530531495,-0.2772853834469577,-0.334206138540092,1.21652374963018,0,0.6063902248484756,1.030234688617416,0.3638393532493427,0.5028333749933783,1.3601604246104402,0,0.9346605658743492,0.7988589269646272,-0.25574072448451624,-0.371922425999471,-0.21783205254511295,-0.3744526261228015,0.36514451593084973,0.12863225254467742,-0.09165140408411179,-0.8068515824525343,0.5121142742445585,-0.4574110155338398,0.005982973338657672,0.8452559270395186,-0.023298080845390014,0.424123596802556,0.17577797212926,0.10935067352151509,-0.05806444498564945,0.06374540439793774,0.76134314724182,-0.72285370637715,-1.09126567026642,0.449178296799111,-0.0819217812190173,0,-0.25226830932288025,-0.5225544345753743,0.06369741514544029,0,0,-0.31797157072802,0.330455632502695,0,-0.2067393760725578,0.5683518430206432,-0.200036129536409,1.2503499661314275,3,10.052013303978798,35001
65459,1.30306250177843,-0.105218836563881,1.39517546259486,0.998503976067127,2.09807192770672,1.65830318213997,1.15896770290779,-0.678869127207341,0.796156442376254,0.61043405462911,-0.447153007589813,0.100717579884666,1.41733809617454,0.197698210129692,2.06761586174181,2.05108832296827,-0.28035612991246,1.4309966003736,1.13615141940998,1.52905560481034,1.40965503313594,1.25173290370745,-0.67192340890338,1.03781869608016,1.28574007170561,-0.841342226972963,0.682546382630227,0.75498879506188,1.082756834045076,-0.29928925847675203,0.47803088667312954,-0.35458735515904477,0.21575500376814974,1.1119619335820015,0.43994883500592474,0.6939021498400559,0.8149799770588568,-0.8043006019107708,-0.7827492256251027,-0.4667050676476095,1.0566569124157859,1.0362692149159036,-0.6819214588561525,-0.009753441398284768,-0.20051268019669224,0.15449997766528198,0.24891470525753243,0.29707348996103894,0.46426438126506925,1.1921454109012688,-0.4939380636865747,-0.720499367802164,1.2679848516282315,0.056376863189432774,-0.25199389619635126,-0.5804518987679835,-0.4131540196392175,0.4530236782500823,1.1723632375359416,1.0905181461500495,0.24880884970974404,-0.986861484994179,2.8770367124248377,1.2588881423873999,-0.030475299328840022,0.31939473763666854,-0.3989631605993087,-1.0711413294987489,-1.0338527648918223,-2.349066400621135,-1.1111240998159293,-0.256343300139168,1.9332480693105725,-0.6089109873604883,0.5823012111148275,1.2296727706494908,-0.3925151179374529,-0.7635507955174197,-0.04846175803152815,0.5395716371528803,0.010085058249612922,-0.4882607301240607,-0.21924200174777386,-0.5170040198676827,-0.016770641602897176,0,-0.41522465876961223,0.42748522407492645,0,-0.6698634096237643,-0.09618803244848304,-0.37351483211133596,1.635255623423285,3,17.41954505873906,35005
215338,2.67821846979895,-0.227861863466775,0.809328543335404,0.0863769993158788,1.14954328986669,2.29616059258081,2.05450589274431,-0.441937659965962,2.07182898078796,0.817012250191061,-0.0910409846429546,-0.141276515316286,1.95748825794534,1.44635070868411,2.08288931760425,1.90177123711026,-0.430970327693567,1.11699097913632,-0.0333019416801834,1.23325926284608,1.58866841142615,1.38877801351456,-0.0797120186175592,1.97459797197148,1.39129629735723,0.24283511943261,0.359644840280788,0.65384589792483,1.26400017494609,0.249921958109452,-0.04977990812348013,-0.36303443080389297,0.441546496074493,0.515372630892465,0.07245762222302644,0.554086882419225,0.679658812915674,-0.6632240182203855,-0.7137504376097598,0.0020062549925746395,1.0294357053226497,0.50741843394554,-0.4565248234132767,0.686829655825728,-0.5164887904417258,0.7062257168642567,-0.4391678904236647,-0.41924241001375784,0,0.3387365393554527,-0.1666617058298897,-0.02603524308378324,0.42528423884795186,1.1753328699262342,-0.08399796539878375,0.46721570383634053,0.49976311774996074,-0.6871625348447075,-0.7837319362755806,-0.556742043773379,-0.824228948888556,0.860719669294829,2.5697071402337626,0.7661237132694145,-0.8357400022896965,0.26157887665430274,-0.7262711482326847,-0.39793864022537073,-0.12522046069211057,-1.899080790925395,-0.28698806635508556,0.19208443523372942,0.8543228492663417,0.13501578636223222,-0.17785446009515846,-0.016260755774689988,-0.2856408687363745,-0.7887596320365737,0.9545939774864782,0.384198282559905,0,-1.164347124851766,-1.4442872165570275,-0.196617021239753,0,0,-0.6893015432504652,0.700932254869401,0,-0.21851371590860538,0.5735707425662125,-0.9375385535484098,2.886682559442555,3,14.388431210469124,35013
70126,0.528326745147161,-1.18447747330935,2.46922814790386,-0.511223433728042,1.67123404067871,1.83902944843154,1.39114427064318,-0.520914815713088,1.81966115342751,1.54003593465789,-0.447153007589813,0.302379325885458,0.738143068744315,0.578554612892114,1.08689922215382,2.32323075364496,-1.11646846029731,1.62256883718349,-0.664274611044107,1.43575071841893,1.46449204268813,1.29126514692104,-0.237821286024057,1.82254905914764,1.60240874866046,-0.841342226972963,0.840979382381121,1.36184617788418,0.823837775615059,-0.3571009654858247,-0.13774837392291525,-1.3344481299614994,-0.6401522810210157,1.8840186782390476,-0.8128621176630483,1.9222791421802201,1.7622281260611214,-1.8512373545604774,-0.6348946798779392,-0.8349782497220408,2.1250892908212924,0.9854181782841375,-0.8361402094223322,-0.11366362717203234,0.36034491548824255,0.03455959957854954,0.15561537024991298,-0.8148198473132733,-0.0584770178058,0.3261245855887675,0.2962005717102796,0.15265728023556654,-0.5725146462231739,-0.5430638547052833,-0.25199389619635126,-0.5205629563770899,-0.6745964371950305,-0.8874655182262243,0.159998191440505,2.2648806738945075,-0.06603457622628375,-1.23464906167617,2.8506941776656,2.7554319641531277,0.45701678542324753,-0.2523398876334015,-1.0535791358660627,-1.6475711321890825,-1.1099685600080276,-3.17825336680205,-1.469034605776065,-1.324416633481888,1.6677982135854044,0.6858623287370729,-0.6198054317288713,-0.30786221940588215,-0.6839903430313032,-1.0786612520068455,0.7271569211771618,-0.7552063177885718,0.5590378574359425,-1.0272163938456753,-1.1713060270121871,-0.17659283382550722,0,0,-1.5009227689066638,1.5106883008994876,0,-0.2675734652254702,0.5953161573394168,-0.429306977663071,1.7590443775272,3,16.217736645466733,35025
72849,4.28579516480884,-1.06183444640645,2.17630468827414,1.02995663043786,2.47748338284274,3.29015505718446,0.197093350861163,-1.10008062452535,2.38333041458617,5.67159984589693,0.878375077823494,-0.786594102518822,2.09727867248229,2.03633031889942,2.66810383696496,2.22489019978686,-1.06965593936534,1.59268068745563,1.18049688814038,1.58464149457544,1.70106162108684,0.868709391682456,-3.10501831899277,2.13296580065294,1.81961831047064,1.44540992597023,-1.3506771141729,3.08127542921404,1.561757092140611,1.594044146070424,0.30209395507425996,-0.24477537177600983,2.2426274695878874,1.1996956545657558,0.1768585349454411,3.879692886071865,5.125925634763052,-3.150626941182453,-3.6215565039706523,0.1694031559354973,2.560628604311435,4.941628828235513,-0.90731809429903,2.734245168108465,-2.5782329097905676,0.010571523961202787,0.7970482984273002,-1.3493839517720767,0.295553022137455,1.6896169205872553,0.4271111148529537,1.20856764530445,0.44596400848673345,2.1469263668472522,0,0.9743272679774082,0.7739934796427426,0.23731277306998677,1.0007759415875641,1.0826365184470683,0.5122492673296875,-1.0325698729258097,1.7706502525369774,2.84668463621201,0.7422899313152098,0.557082166119733,-0.9133042840231858,-2.1272280482963675,-1.0528817136708726,-2.591755268771645,-1.711566067051685,-1.055359992258151,3.4017851743707723,1.4127526114585125,-1.3681757436952922,-0.8910651466682643,-1.2669407932190033,-1.2803319441600765,-0.6646801071772805,-0.858788554183888,-1.07286051014274,0.9117483608451022,1.0597254233419413,-0.957536142981086,-0.0670825664115887,0,-0.1605983918970796,0.17344411159489928,0,-1.4862176382564,-2.34379410340689,-1.0709166515080268,3.1826150497222274,3,29.763277464344053,35031
65745,1.41927286527313,0.213653033383643,0.288575726215887,1.06140928480859,-0.557808258245379,1.13738629694661,1.12579962180274,-1.02110346877822,3.08050029022977,-0.164234178728209,-0.150392988467431,0.988029262288154,1.49189298392758,1.35939719207169,1.7870665935318,1.32657934454434,0.186140817809562,0.487539343903809,1.21850728990929,-0.626088749796389,1.18894739964902,1.24338720791792,-2.44855757976084,2.3833528415109,0.237799203323164,0.0936757814414775,1.19066364611702,0.400988655082204,-0.5484332340640306,-0.9063121820720275,1.0538244809967052,1.0307330505961494,0.021469301085946656,-0.6163923697979791,0.37730828737247657,0.23450912831446674,1.346598836192779,-0.3365203507268605,-0.39832740668247635,-1.035854530853549,0.3284896226744489,1.1481414955057876,-0.5158397274771914,-0.45618238768549657,0.2537029782805428,-0.15734500536022425,-0.32254372166413997,0.9706242615791297,-0.34396131056696994,-0.9350707910799311,-0.727706890727064,-0.761111304920198,-0.712103091284938,-0.865263240573693,-0.335991861595135,-1.04245231149773,-0.98932195615487994,-0.5484912386575034,2.1332520948468683,0.14866363564359275,0.7242866766335437,-0.5802974028654785,0.875004070722996,0.9395037901812995,-0.30491528778186683,1.655583524784699,0.7699939380913258,-1.2394420018170966,-0.7103606356479457,-1.024389661966254,-1.0428385427577456,2.7603523741875975,0.9742034292712569,-1.2108670027391828,0.6883694443069185,0.1339581800353175,0.9871342808401059,-0.8769905598536121,1.60385873652333,4.993607802151472,0,-0.45636986244822525,-1.6330149525386475,1.004834223614985,0,0,-0.7175933506807451,0.7291590451449599,0,0.6390507021501951,0.19346089233059877,-0.11373265438606905,1.0588642371269323,3,10.243151570461631,35035
140769,0.0828536850841781,0.140067217241907,0.418763930495766,-0.0708862725377847,-0.273249666893368,1.41910665322465,-0.234091703504568,-0.915800594448721,0.217653779608155,0.248922212395694,-0.783481029261847,-0.907591150119298,0.139840094526143,1.23331459298367,0.317599366345854,-0.0855107308547559,0.0770472907681116,0.682352464419135,-0.233912395460547,-0.186166136512628,1.2986214187534,0.355668724199431,-1.7870686306114,0.423304128927172,0.931726592895687,-1.61360843973761,-1.65094537084364,0.274560033660891,-0.354243940241518,0.4667158593934815,-0.44163943759369045,-0.768494061756633,-0.6559051758330857,-0.25229742771539354,0.4357727984970287,0.7837833931820203,0.8246457744976551,-0.878551435432027,0.01566532140958274,0.06896501536974349,0.47820626168668523,0.924396934326021,-0.5632916507283232,-0.13675477956619853,0.25370297828054295,-0.8769872738806268,-0.5674544760591422,0.6178119526363214,0.09504069626836074,0.15936653022923863,-0.3256245082174225,-0.2006665726913292,0.30120562101527343,1.8447083382420018,-0.08399796539878375,0.408882318390666,0.4379547201212778,-0.8566496746290675,-0.47487480356849865,0.3378227005151827,0.42871937881604727,-0.16651620685283602,-0.3279716832820575,0.245983482533766,-0.564911066316313,1.0003371003178776,0.06861967887694574,-0.023469644317052507,0.04128284112459024,0.0474861723651757,0.009700905690817777,0.5589798550842815,0.5332141528246057,1.157205246439257,-1.1619319569328932,-1.3859039940424085,-0.3827992771009915,-0.3097917381726488,0.756315518139896,-0.3408773722073075,0,0.3727926971234885,-0.456836740796061,-0.17659283382550714,0,0,1.0488763757474522,-1.03325117268523,0,-0.6639762397057393,0.7710191087069099,-0.10675863619210203,1.0433906428639423,3,10.021048668385795,35043
127455,1.43864125918891,-0.522205128033721,1.49281661580477,0.432356197393939,1.33924901743469,1.70082700950269,-0.101419379084343,-0.955289172322285,3.68866975621675,2.00483687467228,-0.308664998666035,-0.625264705718188,1.50158511933548,1.60025843308811,1.58489426987903,1.20656372983589,-0.70940306088891,1.46520592837536,0.453231200961878,1.31663809749372,1.42415738276958,0.584955734838249,-2.01277938690901,2.53540175433475,1.66909589483025,-0.407456670658228,-0.787485522201274,1.46298907502123,0.2542158470690223,0.6546039071729695,0.3660710211102129,-0.7009174565978428,0.126488599833084,0.72154687520429,0.18521060796323396,0.8037570028135672,0.8439773693752523,-0.8711263520799033,-0.9207468016557887,0.20288253612408247,0.5326486758729543,1.7685241424133276,-0.563291650728323,0.4559181318840663,-0.358500735319209,0.130511902047936,0.06231603524229293,-0.3871685637462309,0,1.0422032938973258,0.408409608689714,0.8674273735129637,0.33222527547344377,1.0929097712157112,0,1.027993982587431,0.9651022033452256,-0.317372411678829,-0.028747834102712255,0.8304244319516155,0.18455508931463716,-0.5273719010499079,0.716948862167587,0.9486290573871863,0.2222983742463165,1.617039617463122,0.88688964796039,-1.6265335481492875,-0.8911356490489345,-0.9384373544962785,-1.35130088671023,-0.2563433001391685,2.006032707170695,0.5098185883904744,-0.448917722697169,0.25766789187885325,-1.0337606131439208,-1.570233564130345,0.556093152329131,-0.755206317788572,0.9624876093244182,0.7235922415576758,-0.09960209768799809,-0.5971007695246653,0,0,-1.348854303968901,1.3589693031683603,0,-0.677712969514461,0.7771078248434067,-0.2567000273623903,1.376072919518215,3,16.226534855439173,35045
148917,-0.20767222365255,1.51366911855432,-1.24113567407269,-0.165244235649982,-0.130970371217363,1.48820787268908,0.959959216277455,-0.415611941383586,0.959323860080077,0.197277663505206,-0.644993020338068,-0.383270610517237,-0.236662088626726,-0.832700961727542,-1.04414980370502,0.142077408073979,2.07166774786925,-1.4350248897955,-0.336118142439175,0.0286336232224945,1.33034530857699,1.20297647041069,-0.027753849469841,1.19658145700272,0.860085544438996,-1.35606713673133,-0.0417187590881413,0.906703140767456,-0.18594655226200696,0.3221865918707945,0.6379735517630101,1.6304754213804125,0.9456391300607525,-1.5507564982749749,1.4046132685610324,-0.8540525966048642,-0.20959455145380024,0.9257438191344872,-0.4968971038472525,0.6046350983870977,-0.9304912053829988,0.5175886412718927,-0.04132049496587315,0.11339937137060108,-0.8561631089551355,-0.421213837151038,-0.532467225431285,2.681229395847305,0.2686472148323375,0.7759509366006004,1.1424437255968505,-0.054463599066406965,-0.38639671947415544,0.17626500676837628,-0.1679959307975675,-0.06011810059256198,0.11754567034499752,-0.255740724484516,0.348744216983721,-0.03261380152501467,0.17812971327512636,-0.05825949859371457,0.41840013489625977,-0.575290565996207,-0.7887963200543096,-0.5799630998668127,-1.38088712349944,0.287886599471886,1.7729171800182826,0.07276626279752149,1.0363389359448956,-0.0932786690944783,-0.8796641115190298,1.2934971744495238,-1.2797855493685497,-1.262194282198871,-0.7325695472136114,-0.9778259059302282,0.8982206900251954,-0.49625072680028176,0,-0.48507164335647723,-1.0348154322397651,-0.09649608416852465,0,0,-1.0199620425918785,1.0308328662149928,0,-0.5619319611266604,0.7257886459786436,-0.34736226388395997,1.5772296449370748,3,8.259043628329875,35049
75956,1.09001016870483,0.189124428003065,0.418763930495766,1.84772564407691,0.343293947702655,2.00380927946209,0.197093350861163,-1.06059204665179,3.19916750310528,0.248922212395694,-0.684561022887719,-0.383270610517237,1.27009219286228,1.47678443949846,1.92814509373483,1.40565317764657,0.139328296877596,0.682352464419135,1.953797395239,0.593624488477723,1.51932905224032,0.868709391682456,-2.7798607443264,2.42245113337989,0.931726592895687,-1.4437027190043,-0.0417187590881413,-0.0288686577502599,0.46135109381303596,0.018675130073156077,-0.385659504812231,-0.24477537177600983,0.14749245958251098,0.04599722362937375,0.6946870620486165,0.554086882419225,0.6216640282828827,-0.6557989348682607,-0.3194716489506559,-0.1988700261389313,0.7231971255248915,0.6904821658198955,-0.5870176123538893,-0.0982695255759226,-0.20446238157475458,-0.5411542152377723,0.132290536498008,0.9706242615791307,0.171092714988151,0.383579041637006,-0.727706890727064,-0.08695314876083346,-0.712103091284938,0.2437020875315303,-0.25199389619635126,-0.6574519675562744,-0.98932195615487994,-0.6871625348447055,0.24579183941469726,0.37723083903009724,1.0391301025695716,-0.544211833445771,0.35693422045804524,1.541771425769945,0.547293097414375,0.8076175637099879,-0.048276030992117774,-1.3446299220160625,-0.7864764307641522,-1.0547257704850657,-1.139380192391726,0.558979855084282,1.75770864858909,0.736971801740925,-0.7317663445427455,-0.8999015546570878,-0.22734582371760453,-0.04509895472153265,-0.14954489416900152,-0.28908625400965005,0.23607888392837975,0.17825840430089424,0.2239311639947758,-0.5770765821104196,0,0,-0.897953623048789,0.9091048331516447,0,-0.249911955471397,0.587487808021064,-0.265417550104849,1.39541491234695,3,10.541313391963769,35061
