fips,total_cases,fips,total_death
8039,136782,8039,1543
8041,5826083,8041,94398
8043,548187,8043,3095
8045,580380,8045,3958
8047,17805,8047,197
8049,102553,8049,601
8051,148004,8051,2081
8053,2221,8053,0
8055,32032,8055,1789
8057,5369,8057,0
8059,4379673,8059,116025
8061,8075,8061,211
8063,63619,8063,1622
8065,68107,8065,0
8067,300745,8067,3159
8069,2160067,8069,25588
8071,80934,8071,792
8073,86713,8073,251
8075,518230,8075,7175
8077,1230747,8077,16708
8079,8326,8079,91
8081,65958,8081,2139
8083,171652,8083,2716
8085,324556,8085,6709
8087,386617,8087,17746
8089,182966,8089,5538
8091,24409,8091,564
8093,56146,8093,642
8095,36561,8095,888
8097,185149,8097,845
8099,125035,8099,2279
8101,1625928,8101,38869
8103,38320,8103,276
8105,70240,8105,1253
8107,169581,8107,3409
8109,50383,8109,757
8111,4469,8111,0
8113,71152,8113,0
8115,19996,8115,327
8117,339975,8117,1314
8119,139488,8119,1766
8121,48605,8121,1177
8123,3159656,8123,61181
8125,80557,8125,1305
9001,10835400,9001,484970
9003,8535792,9003,498670
9005,1274343,9005,54103
9007,1128665,9007,67648
9009,8720851,9009,398533
9011,1834519,9011,54489
9013,864472,9013,26876
9015,859747,9015,14578
10001,1627117,10001,41699
10003,5627153,10003,110284
10005,3094628,10005,73867
11001,6133730,11001,209147
12001,2924872,12001,23714
12003,462278,12003,6519
12005,2235784,12005,38886
12007,365163,12007,4777
12009,3897762,12009,97668
12011,26996140,12011,400504
12013,221231,12013,5146
12015,1318335,12015,50377
12017,1142514,12017,43752
12019,2041805,12019,38079
12021,4457855,12021,69903
12023,1161062,12023,20046
12027,559014,12027,10065
12029,228754,12029,2526
12031,11506300,12031,140818
12033,4394275,12033,77975
12035,701327,12035,10064
12037,185624,12037,1221
12039,822163,12039,12560
12041,185068,12041,4278
12043,158034,12043,1980
12045,261651,12045,4587
12047,260590,12047,2651
12049,428451,12049,3903
12051,685741,12051,12464
12053,1302187,12053,47643
12055,889541,12055,35589
12057,15021615,12057,213857
12059,289087,12059,4189
12061,1314222,12061,34417
12063,889928,12063,21711
12065,190968,12065,3177
12067,286177,12067,3644
12069,2918816,12069,62296
12071,7754165,12071,144216
12073,3625686,12073,31016
12075,363307,12075,3549
12077,167615,12077,2565
12079,307154,12079,6159
12081,4275751,12081,94231
12083,3397323,12083,90272
12085,1613257,12085,42144
12086,58324257,12086,916508
12087,764851,12087,6743
12089,869822,12089,12926
12091,2209385,12091,39162
12093,498221,12093,9299
12095,14926398,12095,149765
12097,4733710,12097,56352
12099,16613660,12099,413852
12101,3937437,12101,74335
12103,8578162,12103,221848
12105,7234663,12105,162708
12107,760846,12107,14833
12109,2336421,12109,23641
12111,2842478,12111,83758
12113,2050798,12113,27893
12115,3384066,12115,98240
12117,3462022,12117,62069
12119,942396,12119,26438
12121,800491,12121,20845
12123,388620,12123,4685
12125,266508,12125,9732
12127,4241267,12127,86143
12129,401042,12129,4609
12131,858450,12131,9768
12133,366475,12133,6526
13001,334819,13001,9802
13003,151422,13003,1981
13005,206583,13005,4783
13007,33212,13007,1467
13009,647933,13009,18231
13011,209395,13011,3387
13013,987727,13013,15925
13015,1430368,13015,29507
13017,276579,13017,8475
13019,200135,13019,4891
13021,1996052,13021,52926
13023,179414,13023,6496
13025,186435,13025,3896
13027,185476,13027,7576
13029,390123,13029,4392
13031,877829,13031,11069
13033,309575,13033,5029
13035,317740,13035,13390
13037,91714,13037,2806
13039,460389,13039,4144
13043,138408,13043,6617
13045,1333035,13045,26852
13047,589203,13047,7364
13049,196671,13049,3377
13051,2771404,13051,49915
13053,456559,13053,764
13055,306511,13055,7580
13057,2959526,13057,32675
13059,1831026,13059,14811
13061,39398,13061,846
13063,2851707,13063,53913
13065,128831,13065,2940
13067,8329900,13067,140551
13069,754651,13069,18844
13071,686788,13071,12672
13073,1750692,13073,20716
13075,225077,13075,4813
13077,1412277,13077,17850
13079,73735,13079,1581
13081,260317,13081,8120
13083,138644,13083,1545
13085,327041,13085,3426
13087,395735,13087,9594
13089,7424601,13089,118832
13091,251148,13091,9898
13093,142027,13093,6130
13095,1175660,13095,62371
13097,1573257,13097,24822
13099,183524,13099,11240
13101,81742,13101,718
13103,517700,13103,7123
13105,278859,13105,5112
13107,338906,13107,10096
13109,130967,13109,2433
13111,258154,13111,7368
13113,873339,13113,17302
13115,1330179,13115,21670
13117,2026047,13117,17020
13119,313924,13119,4989
13121,10978651,13121,185971
13123,348373,13123,6788
13125,25704,13125,1069
13127,1092454,13127,25554
13129,856688,13129,14258
13131,271335,13131,6936
13133,206326,13133,6936
13135,11193248,13135,134434
13137,674889,13137,22029
13139,3517426,13139,52651
13141,139701,13141,12329
13143,286110,13143,6878
13145,301469,13145,7036
13147,246799,13147,5693
13149,97664,13149,2175
13151,2437864,13151,33882
13153,1459527,13153,28287
13155,116579,13155,2850
13157,971506,13157,14118
13159,138955,13159,2398
13161,242669,13161,6299
13163,256374,13163,7948
13165,123055,13165,7804
13167,146357,13167,6424
13169,218882,13169,4259
13171,204652,13171,6361
13173,105934,13173,2056
13175,673386,13175,21599
13177,327785,13177,9716
13179,389688,13179,6308
13181,86502,13181,2498
13183,93144,13183,1264
13185,1582250,13185,26305
13187,342021,13187,5516
13189,259529,13189,5485
13191,97229,13191,1986
13193,100991,13193,3949
